Event,Filename,ID,Artist,Title,Game,Reason
Lockdown 1,SimCity_SpeedTown.mp3,OCR00106,DJ Seith,Speed Town,SimCity,SPC rip + drums.
Lockdown 1,SuperMetroid_FashionTechno.mp3,OCR00114,Zacman of Fashion Police,Fashion Techno,Super Metroid,"Not an arrangement. Just weird sound effects, no game music."
Lockdown 1,SuperMarioBros2_PhazeremixRag.mp3,OCR00121,Shadowphazer,Phazeremix Rag,Super Mario Bros. 2,Too similar to original.
Lockdown 1,ChronoTrigger_SyntheticTimeParasite.mp3,OCR00128,T.M. Revolutionary,Synthetic Time Parasite,Chrono Trigger,Quality issues.
Lockdown 1,MegaMan2_WeaponGain.mp3,OCR00142,Prince Vejita,Weapon Gain,Mega Man 2,NSF rip + drums.
Lockdown 1,MegaMan2_TranceReality.mp3,OCR00144,Dvdad,Trance Reality,Mega Man 2,NSF rip + drums.
Lockdown 1,FinalFantasyVII_OneWingedTechno.mp3,OCR00185,Dispater,One-Winged Techno,Final Fantasy VII,MIDI rip + in-game vocals.
Lockdown 1,StarCraft_EasilyAmused.mp3,OCR00236,Daknit,Easily Amused,StarCraft,"Sound effects, no game music."
Lockdown 1,StarTropics_LeafVibe.mp3,OCR00242,DJ Jimmy the Leaf,Leaf Vibe,StarTropics,"Not a game music arrangement. Inspired by game, but not from any identifiable in-game music."
Lockdown 1,QuakeIII_Thalk.mp3,OCR00272,Thalk,Thalk,Quake III,Mostly sound effects.
Lockdown 1,KirbySuperStar_WindBreaker.mp3,OCR00281,DJ Seith,Wind Breaker,Kirby Super Star,SPC rip + layered scratching/FX.
Lockdown 1,ChronoCross_OpenItUp.mp3,OCR00297,John S,Open It Up,Chrono Cross,"WAV rip + drums, sped up."
Lockdown 1,HalfLifeCounterStrike_PaleriderTraining.mp3,OCR00306,[Doom]Paleraider,Palerider Training,Half-Life: Counter-Strike,Not a game music arrangement. Original/non-VGM composition+ in-game voices. Game had no music.
Lockdown 1,Koudelka_RequiemElectricFlamesMix.mp3,OCR00315,Steve Pordon,Requiem (Electric Flames Mix),Koudelka,Samples too extensively from original.
Lockdown 1,HalfLifeCounterStrike_IntheLineofFire.mp3,OCR00679,Provoker,In the Line of Fire,Half-Life: Counter-Strike,Not a game music arrangement. Original/non-VGM composition+ in-game voices. Game had no music.
Lockdown 1.25,DieHardTrilogy_ILovetheAirport.mp3,OCR01046,Texx Sound,I Love the Airport,Die Hard Trilogy,Too similar to the original
Lockdown 1.25,Ys_BeatofTerror.mp3,OCR01051,Egm,Beat of Terror,Ys,NSF rip. Too similar to the original.
Lockdown 1.25,CommandConquerTiberianSun_PharoTeknical.mp3,OCR01070,Scott Peeples,PharoTeknical,Command & Conquer,WAV rip + drums. Too similar to the original.
Lockdown 1.25,StreetsofRage2_Funkdreamer.mp3,OCR01090,Gecko Yamori,Funkdreamer,Streets of Rage 2,GYM rip. Too similar to the original.
Lockdown 1.25,DonkeyKongCountry_StrollingtheMines.mp3,OCR01101,Rapture,Strolling the Mines,Donkey Kong Country,Usage of source instrumentation and writing (though not the original audio) is too similar to the original.
Lockdown 1.25,FZeroGX_DrStuardJeffToadAirTeamChallengers.mp3,OCR01193,Cyborg Jeff,Dr. Stuard (Jeff & Toad Air Team Challengers),F-Zero GX,Too similar to the original.
Lockdown 2,BubbleBobble_Jungle.mp3,OCR00016,Astroboy,Jungle,Bubble Bobble,NSF rip + drums.
Lockdown 2,BubbleBobble_SpeedGarage.mp3,OCR00017,Bullet Proof Sounds,Speed Garage,Bubble Bobble,NSF rip + drums.
Lockdown 2,MegaMan2_Distraught.mp3,OCR00018,Penopticon,Distraught,Mega Man 2,NSF rip + drums.
Lockdown 2,Metroid_BrinstarThemeBenLewisMix.mp3,OCR00023,Ben Lewis,Brinstar Theme (Ben Lewis Mix),Metroid,Mostly NSF rip + drums.
Lockdown 2,MegaMan_Raveland.mp3,OCR00025,Astroboy,Raveland,Mega Man,NSF rip + drums (eventually).
Lockdown 2,TheLegendofZeldaOcarinaofTime_OcarinaBoogie.mp3,OCR00032,The Black Lodge,Ocarina Boogie,Legend of Zelda: Ocarina of Time,Not a game music arrangement. Original/non-VGM composition + in-game ocarina instrument as lead. Not from any identifiable in-game music.
Lockdown 2,LordoftheSword_ThereCanBeOnlyOne.mp3,OCR00036,Joe Redifer,There Can Be Only One,Lord of the Sword,MIDI rip. Same timing.
Lockdown 2,Tetris_NewMelodyMix.mp3,OCR00043,Am.Fm.Gm,New Melody Mix,Tetris,MIDI rip of previously arranged material.
Lockdown 2,MegaMan2_DrAsuul.mp3,OCR00047,Dr. Asuul,Dr. Asuul,Mega Man 2,NSF rip + drums.
Lockdown 2,Golgo13_DukeTogoXMix.mp3,OCR00052,Memblers,Duke Togo X Mix,Golgo 13,MIDI rip + Quality issues.
Lockdown 2,BustaGroove_BlueKnifeSignofZetaDub.mp3,OCR00056,Signofzeta,Blue Knife (SignofZeta Dub),Bust a Groove,Cut up WAV rip + drums.
Lockdown 2,CastlevaniaSymphonyoftheNight_TheBlackDiscMix.mp3,OCR00057,DJ Jimmy the Leaf,The Black Disc Mix,Castlevania: Symphony of the Night,"Not a game music arrangement. Original/non-VGM composition with an in-game voice sample, author admits to it being so."
Lockdown 2,Metroid_BluebaseIncidental.mp3,OCR00069,AmIEviL,Blue Base Incidental,Metroid,MIDI rip + rain SFX.
Lockdown 2,GhoulsnGhosts_Level5Atomic.mp3,OCR00070,Atomic Skull,Level 5 Atomic,Ghouls'n Ghosts,MIDI rip.
Lockdown 2,BubbleBobble_BubbleTechno.mp3,OCR00079,Djarcas,Bubble Techno,Bubble Bobble,NSF rip + drums.
Lockdown 2,Galaga_Galagzee.mp3,OCR00086,Zee-Roh,Galagzee,Galaga,Sped up WAV rips + drums.
Lockdown 2,SailorMoon_SMRavebody.mp3,OCR00091,djpretzel,S&M Ravebody,Sailor Moon,Not a game music arrangement. Music originally from anime.
Lockdown 2,DiabloII_WandererFlayerMix.mp3,OCR00092,Bart Klepka,Wanderer (Flayer Mix),Diablo II,First portion too reliant on directly sampling the original. Second portion not from any identifiable in-game music.
Lockdown 2,SonictheHedgehog_WaterWarning.mp3,OCR00097,DJ Seith,Water Warning,Sonic the Hedgehog,Too reliant on directly sampling (and cutting up) the original.
Lockdown 2,TheGuardianLegend_LiquidHorsey.mp3,OCR00099,Memblers,Liquid Horsey,Guardian Legend,MIDI rip + Quality issues.
Lockdown 2,Karnov_RussianJam.mp3,OCR00101,Joe Redifer,Russian Jam,Karnov,MIDI rip of previously arranged material with minor changes/additions.
Lockdown 2,SuperBomberman3_BombFactory.mp3,OCR00103,DJ Seith,Bomb Factory,Super Bomberman 3,SPC rips + drums/SFX.
Lockdown 2,BanjoKazooie_OldskoolSquarewave.mp3,OCR00107,fs_freak,Oldskool Squarewave,Banjo-Kazooie,MIDI rip + drums.
Lockdown 2,CastlevaniaN64_TowerofAmbient.mp3,OCR00108,Alexander Prievert,Tower of Ambient,Castlevania (N64),Too reliant on directly sampling the original.
Lockdown 2,AlteredBeast_PsychoticDiscord.mp3,OCR00113,bolstone,Psychotic Discord,Altered Beast,MIDI rip.
Lockdown 2,FinalFantasy_Progressive.mp3,OCR00116,Zeratul,Progressive,Final Fantasy,Quality issues.
Lockdown 2,EarthBound_StArMaNnMegaSeith.mp3,OCR00117,DJ Seith,StArMaNn Mega-Seith,EarthBound,SPC rips + drums.
Lockdown 2,BionicCommando_BIONICBPM.mp3,OCR00119,d0d0,BIONIC BPM,Bionic Commando (C64),SID rip + drums.
Lockdown 2,SonicCD_DaBoom.mp3,OCR00125,Jivemaster,Da Boom,Sonic CD (US),WAV rip + new synths on top.
Lockdown 2,Diablo_TheSinWar.mp3,OCR00131,Daknit,The Sin War,Diablo,Not a game music arrangement. Inspired by game. Original/non-VGM composition + in-game dialogue.
Lockdown 2,SuperCastlevaniaIV_ProloguePainmix.mp3,OCR00133,FuZZneK,Prologue Painmix,Super Castlevania IV,SPC rip + drums.
Lockdown 2,ChronoCross_LostintheCross.mp3,OCR00136,Daknit,Lost in the Cross,Chrono Cross,Quality issues.
Lockdown 2,Pilotwings64_BirdmanClearSkiesMix.mp3,OCR00141,Scott Peeples,Birdman (Clear Skies Mix),Pilotwings 64,MIDI rip of previously arranged material with minor changes/additions.
Lockdown 2,DeadlyTowers_SMDungeonTour.mp3,OCR00147,Memblers,S&M Dungeon Tour,Deadly Towers,MIDI rip.
Lockdown 2,MarioPaint_BugBashBreakbeat.mp3,OCR00153,DJ Seith,Bug Bash Breakbeat,Mario Paint,SPC rip + beats.
Lockdown 2,Metroid_Hemorrhoid.mp3,OCR00154,Joe Redifer,Hemorrhoid,Metroid,MIDI rip of previously arranged material with minor changes/additions.
Lockdown 2,EarthBound_Battle.mp3,OCR00164,Spekkosaurus,Battle,EarthBound,SPC rip. Too reliant on directly sampling the original.
Lockdown 2,TalesofPhantasia_Freeze.mp3,OCR00169,Spongemop,Freeze,Tales of Phantasia,"SPC rip. Slowed down, new instrumentation."
Lockdown 2,DragonWarrior_ReptileJam.mp3,OCR00193,Daknit,Reptile Jam,Dragon Warrior,Too reliant on sampled phrases/loops to provide the instrumentation.
Lockdown 2,ShadowMan_DeadsideDance.mp3,OCR00195,Alexander Prievert,Deadside Dance,Shadow Man (N64),Too similar to the original.
Lockdown 2,NinjaGaidenIITheDarkSwordofChaos_SongofChaos.mp3,OCR00197,Daknit,Song of Chaos,Ninja Gaiden II,MIDI rip + beats.
Lockdown 2,SilentHill_Act3SearchforCheryl.mp3,OCR00207,Children of the Monkey Machine,Act 3 (Search for Cheryl),Silent Hill,"Not an arrangement, author admits to it being so. Samples first 8 seconds of source (among other parts), with original/non-VGM composition on top."
Lockdown 2,OutofThisWorld_OpenEnding.mp3,OCR00213,Kada,Open Ending,Out of This World,Too similar to the original.
Lockdown 2,MegaMan2_Crashthe70sMan.mp3,OCR00219,Daknit,Crash the 70's Man,Mega Man 2,Too reliant on sampled phrases/loops to provide the instrumentation.
Lockdown 2,FinalFantasyIX_MelodiesofTechno.mp3,OCR00220,FFmusic Dj,Melodies of Techno,Final Fantasy IX,WAV rip + beats.
Lockdown 2,SuperMario64_HauntedHellIncuCujoKondoDBrosMix.mp3,OCR00223,Mustin,Haunted Hell (IncuCujoKondoD.Bros. Mix),Super Mario 64,"WAV rips + The Dust Brothers' ""What Is Fight Club?"" + Amon Tobin's (Cujo's) ""Cruzer"" + Vince Guaraldi Trio's ""Christmas Time Is Here"" + assorted sampled movie clips, author admits to it being so."
Lockdown 2,CastlevaniaTheAdventure_CV2K.mp3,OCR00230,McVaffe,CV2K,Castlevania: The Adventure,"Too reliant on directly sampling grade-up ""Akumajo Dracula Best 2"" arranged album version of original."
Lockdown 2,MegaMan2_CrashManCenturia.mp3,OCR00234,4-Eyes,Crash Man Centuria,Mega Man 2,NSF rip + drums.
Lockdown 2,FinalFantasyVI_WildWildWest.mp3,OCR00243,Dale North,Wild West West,Final Fantasy VI,SPC rip + drums/vocal loop.
Lockdown 2,Ristar_Intension.mp3,OCR00244,4-Eyes,Intension,Ristar,GYM rip + drums.
Lockdown 2,Xenogears_GatheringStars.mp3,OCR00249,Dale North,Gathering Stars,Xenogears,Too similar to the original.
Lockdown 2,Wizball_CateliteLives.mp3,OCR00253,d0d0,Catelite Lives,Wizball,SID rip + drums/SFX.
Lockdown 2,MetalGear_SuperComputerSystemMalfunction.mp3,OCR00254,F4T4L_3RR0R,Super Computer (System Malfunction),Metal Gear,"NSF rip + John Williams' ""Duel of the Fates."""
Lockdown 2,Anticipation_IceCreamBearShoeHorn.mp3,OCR00259,DJ Seith,Ice Cream Bear Shoe Horn,Anticipation,NSF rip. Too reliant on directly sampling the original.
Lockdown 2,Excitebike_TitleTechnoPhatulence.mp3,OCR00265,DJ 3dn3r,Title Techno Phatulence,Excitebike,Lacking in arrangement. Quality issues.
Lockdown 2,TheSims_AcidTechnoTrip.mp3,OCR00266,Daknit,Acid Techno Trip,Sims,Not a game music arrangement. Inspired by game. Original/non-VGM composition + in-game voices.
Lockdown 2,Arkanoid_C64Vibe.mp3,OCR00277,slaveone,C64 Vibe,Arkanoid,SID rip + drums.
Lockdown 2,PopUp_80sMix.mp3,OCR00283,Hazama,80s Mix,Pop-Up,"Briefly added new writing, but too similar to the original."
Lockdown 2,RCProAm_InsomnicIntro.mp3,OCR00284,insomnic,Insomnic Intro,R.C. Pro-Am,NSF rip
Lockdown 2,FinalFantasyVII_FantasticoMamboTechnoDiscodeChocobo.mp3,OCR00288,cornflex,Fantastico Mambo Techno Disco de Chocobo,Final Fantasy VII,"Direct samples Los Mambos Panchos' ""Mambo de Chocobo"" from ""Final Fantasy V: Mambo de Chocobo"" arranged album + bwomp-chicka/drums."
Lockdown 2,Shenmue_RyosRenshuu.mp3,OCR00289,mutagene,Ryo's Renshuu,Shenmue,"WAV rip + SFX, sped up."
Lockdown 2,KidIcarus_LittleKidsCantFly.mp3,OCR00290,Daknit,Little Kids Can't Fly,Kid Icarus,Quality issues.
Lockdown 2,EarthwormJim2_TitleTopsoil.mp3,OCR00293,4-Eyes,Title Topsoil,Earthworm Jim 2,SPC rip + drums.
Lockdown 2,ChronoTrigger_AFrogaSwordandaSpoonyBard.mp3,OCR00298,Daknit,"A Frog, A Sword, and a Spoony Bard",Chrono Trigger,Too reliant on sampled phrases/loops to provide the instrumentation.
Lockdown 2,FinalFantasyVII_CoolCatSithe.mp3,OCR00299,Daknit,Cool Cat Sithe,Final Fantasy VII,WAV rip + effects.
Lockdown 2,TheNewZealandStory_LookatKiwiKiwi.mp3,OCR00321,cornflex,Look at Kiwi Kiwi,Kiwi Kraze,NSF rip + drums.
Lockdown 2,DoomIIHellonEarth_MonsterCondo.mp3,OCR00333,Chuck Dodgers,Monster Condo,Doom II,MIDI rip + atmospheric sounds.
Lockdown 2,Vectorman2_FloatingPointVectors.mp3,OCR00351,4-Eyes,Floating Point Vectors,Vectorman 2,"GYM rips + sampled guitar/drums, SFX."
Lockdown 2,FinalFantasyLegendIII_TaloninjuryMix.mp3,OCR00359,injury (Starla),Talon (injury Mix),Final Fantasy Legend III,"GBS rip, looped 2 1/2 times."
Lockdown 2,BlackWhite_ClashofdaCreatures.mp3,OCR00367,Option 42,Clash of da Creatures,Black & White,WAV rip + drums
Lockdown 2,DuckTales_DuckSideoftheMoon.mp3,OCR00382,Daknit,Duck Side of the Moon,DuckTales,"MIDI rip + Blue Öyster Cult's ""Don't Fear the Reaper"" guitar riff. Quality issues."
Lockdown 2,FinalFantasyLegendII_InjuredHerosBlood.mp3,OCR00396,injury (Starla),Injured Hero's Blood,Final Fantasy Legend II,GBS rip. Too similar to the original.
Lockdown 2,SpyvsSpy_HappyPsy.mp3,OCR00400,CueB,Happy Psy,Spy vs. Spy,NSF rip + drums.
Lockdown 2,TheRevengeofShinobi_StevesFreakyBass.mp3,OCR00435,Speed Demon,Steve's Freaky Bass,Revenge of Shinobi,GYM rip. Too reliant on directly sampling the original.
Lockdown 2,DuckTales_WalkingontheMoon.mp3,OCR00441,Arcubalis,Walking on the Moon,DuckTales,"Too similar to the original. Sped up verbatim melody + drums, minor additions."
Lockdown 2,Grandia_NorthernBeach.mp3,OCR00452,Dale North,Northern Beach of Ganbo,Grandia,Too similar to the original.
Lockdown 2,BloodMoney_SkySurfer.mp3,OCR00500,Alexander Prievert,Sky Surfer,Blood Money,MOD rip. Too similar to the original.
Lockdown 2,TurricanIITheFinalFight_TheDesertRemake.mp3,OCR00507,Mark7,The Desert Remake,Turrican II,MOD rip. Too similar to the original.
Lockdown 2,BlastCorps_Faster.mp3,OCR00540,Malcos,Faster,Blast Corps,"MIDI rip of previously arranged material with minor changes/additions, author admits to it being so."
Lockdown 2,WizardsWarriors_MightyPotion.mp3,OCR00548,DJ ShadowZero,Mighty Potion,Wizards & Warriors,MIDI rip medley + several drum loops.
Lockdown 2,SonictheHedgehog_WaterWarningUCantBreathe2This.mp3,OCR00554,DJ Seith,Water Warning (U Can't Breathe 2 This),Sonic the Hedgehog,Too reliant on directly sampling (and cutting up) the original audio.
Lockdown 2,Mechwarrior2Mercenaries_Mecharok.mp3,OCR00566,Scott Peeples,Mecharok,MechWarrior 2: Mercenaries,WAV rip + strings/drums.
Lockdown 2,SwordofVermilion_MacSword.mp3,OCR00579,CueB,MacSword,Sword of Vermilion,GYM rips + drums.
Lockdown 2,Paperboy_EveningEditionJam.mp3,OCR00590,Daknit,Evening Edition Jam,Paperboy,Too reliant on sampled phrases/loops to provide the instrumentation.
Lockdown 2,MarioKart64_FlagofEveryColor.mp3,OCR00669,Devvyn Murphy,Flag of Every Color,Mario Kart 64,Too similar to the original.
Lockdown 2,SuperMarioWorld_VanillaExtract.mp3,OCR00695,Goolancer,Vanilla Extract,Super Mario World,MIDI rip of previously arranged material with minor changes/additions.
Lockdown 2,DonkeyKongCountry_ApocalypseOil.mp3,OCR00696,Wintermute,Apocalypse Oil,Donkey Kong Country,Too similar to the original.
Lockdown 2,MortalKombat_KompleteKontrol.mp3,OCR00737,Beatdrop,Komplete Kontrol,Mortal Kombat (Sega CD),"Not a game music arrangement. The ""Mortal Kombat"" CD single (November 30, 1993) came out before the Sega CD game (May 26, 1994). Source tune isn't originally from the 1995 movie soundtrack (where it's most known), but is also not music originally created for the game."
Lockdown 2,TurboOutRun_SlamtheGas.mp3,OCR00783,d0d0,Slam the Gas,Turbo OutRun,SID rip + drums.
Lockdown 2,TheLegendofZeldaALinktothePast_FairyAcid.mp3,OCR00820,aneurySm,Fairy Acid,Legend of Zelda: A Link to the Past,SPC rip + creative processing and drums.
Lockdown 2,GoldenEye007_SymphonicCaverns.mp3,OCR00870,Krispy,Symphonic Caverns,GoldenEye 007,Too similar to the original. Author requested removal.
Lockdown 2,SuperMetroid_MellowDramaticMetroidMedley.mp3,OCR00979,KooLKaRLSoN,Mellow Dramatic Metroid Medley,Super Metroid,"SPC rips, author admits to it being so."
Lockdown 2,SuperGhoulsnGhosts_SwimminginZombieGuts.mp3,OCR00997,Nigel Simmons,Swimming in Zombie Guts,Super Ghouls'n Ghosts,SPC rip. Too similar to the original.
request,Castlevania_Subliminal.mp3,OCR00038,Subliminal Labs,Subliminal,Castlevania,Removed by request
request,DonkeyKong_KennedyHammer.mp3,OCR00073,Greg Kennedy,Kennedy Hammer,Donkey Kong,"replaced by request with OCR00073 - Lotus II R.E.C.S. ""Overdrive"""
request,FinalFantasyVIII_FindYourWay.mp3,OCR00174,FFmusic Dj,Find Your Way,Final Fantasy VIII,Removed by request
request,FinalFantasyII_PromisedLand.mp3,OCR00267,FFmusic Dj,Promised Land,Final Fantasy II,Removed by request
request,FinalFantasyAdventure_MissionofMana.mp3,OCR00279,Compyfox,Mission of Mana,Final Fantasy Adventure,Removed by request
request,FinalFantasyVII_AerisChasm.mp3,OCR00344,FFmusic Dj,Aeris Chasm,Final Fantasy VII,Removed by request
request,FinalFantasyVIII_ManwiththeTranceMachine.mp3,OCR00461,Beatdrop,Man with the Trance Machine,Final Fantasy VIII,"replaced by request with OCR00798 - Final Fantasy VIII ""Man with Another Trance Machine"""
request,ChronoTrigger_GuardiaForestSpirits.mp3,OCR00635,mp,Guardia Forest Spirits,Chrono Trigger,Removed by request
request,KidIcarus_IcarusOrchestrated.mp3,OCR00672,ZhayTee,Icarus Orchestrated,Kid Icarus,Removed by request
request,Teenagent_Trapped.mp3,OCR02128,Brandon Strader,Trapped,Teen Agent,Removed by request
request,Teenagent_LingeringLust.mp3,OCR02130,Brandon Strader,Lingering Lust,Teen Agent,Removed by request
request,FinalFantasyX_EthnicRush.mp3,OCR02163,Brandon Strader,Ethnic Rush,Final Fantasy X,Removed by request
request,GodofWarII_BornofAshesBaptizedinBlood.mp3,OCR02265,Brandon Strader,"Born of Ashes, Baptized in Blood",God of War II,Removed by request
request,TheElderScrollsVSkyrim_Dovahkiin.mp3,OCR02323,Brandon Strader,Dovahkiin,Elder Scrolls V: Skyrim,Removed by request
request,TheLegendofZeldaALinktothePast_BottledChoir.mp3,OCR02339,Brandon Strader + ladyWildfire,Bottled Choir,Legend of Zelda: A Link to the Past,Removed by request
request,HeavyRain_FromMars.mp3,OCR02432,Brandon Strader,From Mars,Heavy Rain,Removed by request
request,MegaManX_StringChamellotron.mp3,OCR02447,Brandon Strader,String Chamellotron,Mega Man X,Removed by request
request,IronswordWizardsWarriorsII_RiseofKuros.mp3,OCR02463,Brandon Strader,Rise of Kuros,IronSword: Wizards & Warriors II,Removed by request
request,FinalFantasy_Omerta.mp3,OCR02477,Brandon Strader,Omerta,Final Fantasy,Removed by request
request,Castlevania_VampiresKiss.mp3,OCR02493,Brandon Strader,Vampire's Kiss,Castlevania,Removed by request
request,FinalFantasy_TheLastStory.mp3,OCR02494,Brandon Strader + Knight of the Round,The Last Story,Final Fantasy,Removed by request
request,PhantasyStarUniverse_Hogosha.mp3,OCR02495,Brandon Strader,Hogosha,Phantasy Star Universe,Removed by request
request,MegaMan9_SplashDamage.mp3,OCR02519,Brandon Strader,Splash Damage,Mega Man 9,Removed by request
request,FinalFantasyX_DreamsofDeath.mp3,OCR02526,Brandon Strader,Dreams of Death,Final Fantasy X,Removed by request
request,Halo3_InMemoriam.mp3,OCR02529,Brandon Strader,In Memoriam,Halo 3,Removed by request
request,JRRTolkiensTheLordoftheRingsVolI_OneRing.mp3,OCR02560,Brandon Strader,One Ring,Lord of the Rings: Volume 1,Removed by request
request,ScottPilgrimvsTheWorldTheGame_1UP.mp3,OCR02570,Brandon Strader,1-UP,Scott Pilgrim vs. The World: The Game,Removed by request
request,FinalFantasyIIIDawnofSouls_Earthrise.mp3,OCR02582,Brandon Strader,Earthrise,Final Fantasy I & II: Dawn of Souls,Removed by request
request,FinalFantasyIIIDawnofSouls_TheCrumblingFacade.mp3,OCR02635,Brandon Strader + halc,The Crumbling Facade,Final Fantasy I & II: Dawn of Souls,Removed by request
request,WildArms_AtmosphericEvisceration.mp3,OCR02647,Brandon Strader + The Biznut,Atmospheric Evisceration,Wild Arms,Removed by request
request,MegaMan10_ShesaSquirter.mp3,OCR02663,Brandon Strader,She's a Squirter,Mega Man 10,Removed by request
request,Portal2_Goodbye.mp3,OCR02668,Brandon Strader,Goodbye,Portal 2,Removed by request
request,KirbySuperStar_TheKirbReich.mp3,OCR02677,Brandon Strader,The Kirb Reich,Kirby Super Star,Removed by request
request,StreetFighterIITheWorldWarrior_MurkanSupreme.mp3,OCR02701,Brandon Strader,Murkan Supreme,Street Fighter II,Removed by request
request,SonicColors_WillotheWisp.mp3,OCR02704,Brandon Strader,Will-o'-the-Wisp,Sonic Colors,Removed by request
request,DowntownSpecialKuniokunnoJidaigekidayoZeninShugo_Seppuku.mp3,OCR02748,Brandon Strader,Seppuku,Downtown Special,Removed by request
request,ConkersBadFurDay_Poop.mp3,OCR02752,Brandon Strader,Poop,Conker's Bad Fur Day,Removed by request
request,FinalFantasy_TheWhiteRider.mp3,OCR02760,Brandon Strader,The White Rider,Final Fantasy,Removed by request
request,BionicCommando_Gridlock.mp3,OCR02763,Brandon Strader,Gridlock,Bionic Commando,Removed by request
request,TheElderScrollsVSkyrim_SageofConfession.mp3,OCR02776,Brandon Strader,Sage of Confession,Elder Scrolls V: Skyrim,Removed by request
request,Prime_KillerStudioChops.mp3,OCR02792,Brandon Strader,Killer Studio Chops,Prime,Removed by request
